split,shape_nl,height_lin,cat_m0,cat_m10,cat_m30,shape+cat
94,0.6557684167473228,0.6234937567269259,0.6747606260050849,0.6756322828390086,0.6735029064883452,0.6838502838598153
95,0.6420242512579328,0.6071069912563758,0.6527227361240614,0.6520713232066842,0.652751884894666,0.6601856051428701
96,0.6559672313725986,0.6270407856850303,0.6787556550262749,0.6785963307638742,0.6782962434900074,0.6883347985653895
97,0.6453610921129798,0.6091102729831417,0.6692355367171139,0.6694618481798104,0.6701181034786299,0.675161371805986
98,0.6522157083091892,0.6148905284886934,0.6808039421824121,0.6825826023324455,0.6829497658687641,0.687015481963379
99,0.6521013616411503,0.6228903656488003,0.662467443802621,0.6624027436838033,0.6621045922131922,0.6699294476620002
100,0.6279481746479971,0.6037322442450069,0.643504222937234,0.6417824472721347,0.6362974924989204,0.6479267326937816
101,0.6642707252053891,0.6269974396499615,0.6781123700972617,0.6827740102462033,0.6815423587997923,0.689868917003967
102,0.6478889428713541,0.6147081183272166,0.6602966888967784,0.6606888293211943,0.6599452595414017,0.6679324369773173
103,0.6425884890821513,0.6018059506211909,0.6393863692473144,0.6371950245365172,0.634875699824192,0.6490788878308538
104,0.6560227825612944,0.6241151649801295,0.6808470006241656,0.6828920204320538,0.6817879849338428,0.6911881085735005
105,0.6520219923425722,0.6121920881603423,0.6899138778216793,0.6890008541770191,0.6873775382298031,0.6928335638712843
106,0.6380989732227055,0.6137361611177818,0.6501577500466388,0.649510828314558,0.6473642446395659,0.6570658487118198
107,0.6322130868242682,0.6131179762894644,0.6418328878586077,0.6398312868280068,0.6362841844929399,0.6490967288804816
108,0.6585480371811951,0.622117394886515,0.6758985305975111,0.6758411721089627,0.677588865080435,0.6854455492898366
109,0.656625891295895,0.619746540929298,0.6892389786284193,0.6900629121500548,0.6879793543245359,0.6923165542202415
110,0.6541287194164624,0.6159812934336582,0.6650527895350781,0.6654031383216448,0.6670963832009571,0.6720775956165804
111,0.6566670019071165,0.6220825877319022,0.6597536944633798,0.6610877681346543,0.6630867731689897,0.6718669036644496
112,0.6577344579999715,0.6195721581681213,0.6740789197636768,0.6750217626081556,0.6748286376205627,0.6829027372354984
113,0.6459500551394767,0.610427758191588,0.6595429277333288,0.6592922484427465,0.6583138049322721,0.6678256075448402
114,0.6459042560775252,0.6134904408451535,0.6577447944537667,0.6575576251372974,0.6556985339567806,0.6681786903137901
115,0.6564165283554093,0.6173136836397441,0.6781261581132112,0.6796427034279339,0.6797132958612658,0.6834152444413883
116,0.6363509501345738,0.6092654085853196,0.6503438054420795,0.6521418370978542,0.6529711646648816,0.6606049816646908
117,0.6414389105190715,0.6208453783649421,0.6703967329407983,0.670439372660818,0.6689441684293003,0.6750286402134232
118,0.641244977826748,0.6137925472643518,0.6573692626646577,0.659234531015293,0.6568493720232399,0.6680846390646872
119,0.6446003872081255,0.6173031315446971,0.6565127395056813,0.6590614921085233,0.6597709975591786,0.6653643657744586
